#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: 2017-12-01 to 2018-03-31
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1070: Anchorage Hillside, AK
#	SNOTEL 960: Eagle Summit, AK
#	SNOTEL 1268: Fielding Lake, AK
#	SNOLITE 1264: Horsepasture Pass, AK
#	SNOTEL 946: Indian Pass, AK
#	SNOTEL 1094: Monahan Flat, AK
#	SNOTEL 1103: Mt. Alyeska, AK
#	SNOTEL 1089: Tokositna Valley, AK
#	SNOTEL 1090: Upper Nome Creek, AK
#	SNOTEL 1055: Upper Tsaina River, AK
# 
# Data items provided in this file:
#
# Element Name                        Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Air Temperature Average             Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# Air Temperature Maximum             Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Precipitation Increment             Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation                                                                                
# Precipitation Accumulation          Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Precipitation Increment - Snow-adj  Value       None           Day                           N/A        Inches              N/A           PRCPSA        Snow adjusted total preciptation                                                                   
# Snow Depth                          Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent               Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily; Date Range: 2017-12-01 to 2018-03-31
#
# As of: Sep 30, 2021 11:29:47 AM GMT-08:00
#
Date,Station Name,Network Code,Station Id,Latitude,Longitude,Elevation (ft),Air Temperature Average (degF),Air Temperature Maximum (degF),Precipitation Increment (in),Precipitation Accumulation (in) Start of Day Values,Precipitation Increment - Snow-adj (in),Snow Depth (in) Start of Day Values,Snow Water Equivalent (in) Start of Day Values
2018-02-04,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,24,31,0.00,5.4,,14,
2018-02-05,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,12,24,0.00,5.4,,14,
2018-02-06,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,-1,7,0.00,5.4,,14,
2018-02-07,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,6,14,0.00,5.4,,14,
2018-02-08,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,18,26,0.10,5.4,,14,
2018-02-09,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,29,37,0.00,5.5,,14,
2018-02-10,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,29,34,0.00,5.5,,14,
2018-02-11,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,21,26,0.00,5.5,,14,
2018-02-12,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,23,25,0.40,5.5,,14,
2018-02-13,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,17,21,0.20,5.9,,14,
2018-02-14,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,17,19,0.10,6.1,,14,
2018-02-15,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,15,19,0.20,6.2,,14,
2018-02-16,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,10,18,0.00,6.4,,16,
2018-02-17,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,7,12,0.00,6.4,,16,
2018-02-18,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,19,29,0.30,6.4,,16,
2018-02-19,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,18,20,0.00,6.7,,19,
2018-02-20,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,19,22,0.10,6.7,,18,
2018-02-21,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,16,18,0.20,6.8,,18,
2018-02-22,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,21,24,0.00,7.0,,19,
2018-02-23,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,8,14,0.10,7.0,,19,
2018-02-24,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,3,11,0.00,7.1,,20,
2018-02-25,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,-6,-3,0.00,7.1,,20,
2018-02-26,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,2,12,0.60,7.1,,20,
2018-02-27,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,-2,4,0.20,7.7,,20,
2018-02-28,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,-12,-2,0.00,7.9,,20,
2018-03-01,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,-4,15,0.20,7.9,,20,
2018-03-02,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,9,16,0.10,8.1,,19,
2018-03-03,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,12,17,0.00,8.2,,19,
2018-03-04,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,5,14,0.00,8.2,,19,
2018-03-05,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,10,13,0.10,8.2,,20,
2018-03-06,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,14,18,0.00,8.3,,20,
2018-03-07,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,13,18,0.00,8.3,,20,
2018-03-08,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,11,23,0.20,8.3,,20,
2018-03-09,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,10,15,0.10,8.5,,20,
2018-03-10,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,16,21,0.20,8.6,,20,
2018-03-11,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,17,21,0.00,8.8,,20,
2018-03-12,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,20,24,0.00,8.8,,20,
2018-03-13,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,22,28,0.10,8.8,,20,
2018-03-14,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,23,29,0.00,8.9,,20,
2018-03-15,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,15,19,0.00,8.9,,,
2018-03-16,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,20,26,0.10,8.9,,,
2018-03-17,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,23,29,0.10,9.0,,,
2018-03-18,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,24,27,0.00,9.1,,,
2018-03-19,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,20,24,0.10,9.1,,,
2018-03-20,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,14,18,0.00,9.2,,,
2018-03-21,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,7,11,0.00,9.2,,,
2018-03-22,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,12,21,0.20,9.2,,,
2018-03-23,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,10,15,0.00,9.4,,23,
2018-03-24,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,5,10,0.00,9.4,,25,
2018-03-25,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,1,6,0.00,9.4,,25,
2018-03-26,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,2,8,0.00,9.4,,25,
2018-03-27,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,15,23,0.00,9.4,,24,
2018-03-28,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,20,26,0.00,9.4,,24,
2018-03-29,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,20,24,0.00,9.4,,25,
2018-03-30,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,15,19,0.00,9.4,,24,
2018-03-31,Eagle Summit,SNTL,960,65.48588,-145.41212,3650,13,15,0.00,9.4,,24,
2017-12-01,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,7,16,0.00,3.5,0.00,13,2.5
2017-12-02,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,16,22,0.30,3.5,0.30,13,2.5
2017-12-03,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,26,28,0.20,3.8,0.20,19,2.5
2017-12-04,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,29,33,0.00,4.0,0.00,19,2.7
2017-12-05,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,28,34,0.10,4.0,0.20,20,2.7
2017-12-06,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,25,33,0.70,4.1,0.80,21,2.9
2017-12-07,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,22,35,0.50,4.8,0.50,26,3.7
2017-12-08,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,33,35,0.30,5.3,0.30,29,4.2
2017-12-09,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,25,30,0.00,5.6,0.00,27,4.5
2017-12-10,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,28,34,0.00,5.6,0.00,26,4.4
2017-12-11,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,30,35,0.00,5.6,0.00,25,4.4
2017-12-12,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,29,34,0.00,5.6,0.00,25,4.4
2017-12-13,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,30,39,0.10,5.6,0.10,24,4.4
2017-12-14,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,26,33,0.10,5.7,0.10,24,4.5
2017-12-15,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,27,31,0.00,5.8,0.00,25,4.6
2017-12-16,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,26,29,0.00,5.8,0.00,25,4.6
2017-12-17,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,14,26,0.00,5.8,0.20,25,4.6
2017-12-18,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,-2,6,0.10,5.8,0.10,27,4.8
2017-12-19,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,15,23,0.50,5.9,0.50,28,4.9
2017-12-20,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,8,22,0.00,6.4,0.00,32,5.3
2017-12-21,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,-13,-5,0.00,6.4,0.00,32,5.3
2017-12-22,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,-10,-1,0.00,6.4,0.00,32,5.3
2017-12-23,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,-7,-1,0.00,6.4,0.00,32,5.3
2017-12-24,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,-8,-2,0.00,6.4,0.00,32,5.3
2017-12-25,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,4,14,0.00,6.4,0.00,32,5.3
2017-12-26,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,7,16,0.00,6.4,0.00,32,5.3
2017-12-27,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,-16,-6,0.00,6.4,0.00,32,5.3
2017-12-28,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,-21,-14,0.00,6.4,0.00,31,5.3
2017-12-29,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,-25,-19,0.00,6.4,0.00,30,5.3
2017-12-30,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,-3,6,0.00,6.4,0.00,29,5.3
2017-12-31,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,9,17,0.00,6.4,0.00,28,5.3
2018-01-01,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,18,25,0.00,6.4,0.00,27,5.3
2018-01-02,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,31,33,0.00,6.4,0.00,26,5.3
2018-01-03,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,25,31,0.30,6.4,0.30,25,5.3
2018-01-04,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,13,26,0.00,6.7,0.00,28,5.6
2018-01-05,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,-5,5,0.00,6.7,0.00,27,5.6
2018-01-06,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,2,14,0.00,6.7,0.00,26,5.6
2018-01-07,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,-9,-3,0.00,6.7,0.00,26,5.6
2018-01-08,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,-14,-8,0.00,6.7,0.00,26,5.6
2018-01-09,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,-34,-21,0.00,6.7,0.00,26,5.5
2018-01-10,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,-25,-4,0.00,6.7,0.00,25,5.5
2018-01-11,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,2,9,0.00,6.7,0.00,25,5.5
2018-01-12,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,7,19,0.00,6.7,0.00,25,5.5
2018-01-13,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,19,32,0.10,6.7,0.10,25,5.5
2018-01-14,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,31,33,0.30,6.8,0.40,26,5.6
2018-01-15,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,33,36,0.40,7.1,0.40,30,6.0
2018-01-16,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,32,35,0.50,7.5,0.70,30,6.0
2018-01-17,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,17,31,0.00,8.0,0.00,36,6.7
2018-01-18,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,1,12,0.00,8.0,0.00,34,6.7
2018-01-19,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,3,9,0.00,8.0,0.00,33,6.7
2018-01-20,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,1,9,0.00,8.0,0.00,33,6.7
2018-01-21,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,-16,-6,0.00,8.0,0.00,32,6.7
2018-01-22,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,-13,-5,0.00,8.0,0.00,32,6.7
2018-01-23,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,-8,-5,0.40,8.0,0.40,32,6.7
2018-01-24,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,-12,-7,0.00,8.4,0.00,40,7.1
2018-01-25,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,-20,-13,0.00,8.4,0.00,37,7.1
2018-01-26,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,-21,-2,0.00,8.4,0.00,36,7.1
2018-01-27,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,-23,-8,0.00,8.4,0.00,35,7.1
2018-01-28,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,-8,9,0.00,8.4,0.00,35,7.1
2018-01-29,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,5,8,0.00,8.4,0.00,34,7.1
2018-01-30,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,2,7,0.00,8.4,0.00,31,7.1
2018-01-31,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,-13,-1,0.00,8.4,0.00,31,7.1
2018-02-01,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,-23,-10,0.00,8.4,0.00,31,7.1
2018-02-02,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,-13,7,0.00,8.4,0.00,30,7.1
2018-02-03,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,-22,-6,0.00,8.4,0.00,30,7.1
2018-02-04,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,-15,1,0.00,8.4,0.00,30,7.1
2018-02-05,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,-11,5,0.00,8.4,0.00,30,7.1
2018-02-06,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,-10,5,0.00,8.4,0.00,30,7.1
2018-02-07,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,-20,3,0.00,8.4,0.00,30,7.1
2018-02-08,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,-15,6,0.00,8.4,0.00,30,7.1
2018-02-09,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,-13,4,0.00,8.4,0.00,30,7.1
2018-02-10,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,-4,18,0.00,8.4,0.00,30,7.1
2018-02-11,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,19,25,0.20,8.4,0.20,30,7.1
2018-02-12,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,27,30,0.90,8.6,0.90,32,7.3
2018-02-13,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,19,27,0.00,9.5,0.00,40,7.8
2018-02-14,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,14,22,0.20,9.5,0.20,39,7.8
2018-02-15,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,18,24,0.00,9.7,0.00,41,8.0
2018-02-16,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,-3,10,0.00,9.7,0.00,40,8.0
2018-02-17,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,0,17,0.00,9.7,0.00,40,8.0
2018-02-18,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,6,18,0.10,9.7,0.10,39,8.0
2018-02-19,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,9,15,0.00,9.8,0.00,40,8.1
2018-02-20,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,8,21,,9.8,,39,8.1
2018-02-21,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,7,21,0.20,9.6,0.20,37,8.1
2018-02-22,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,22,28,0.30,9.8,0.30,38,8.2
2018-02-23,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,9,19,0.00,10.1,0.00,40,8.5
2018-02-24,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,3,13,0.00,10.1,0.10,40,8.5
2018-02-25,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,-3,10,0.00,10.1,0.00,40,8.6
2018-02-26,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,11,20,0.50,10.1,0.50,40,8.6
2018-02-27,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,-1,6,0.00,10.6,0.00,44,9.0
2018-02-28,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,-2,4,0.00,10.6,0.00,41,9.0
2018-03-01,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,-14,3,0.00,10.6,0.00,40,9.0
2018-03-02,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,-3,10,0.00,10.6,0.00,40,9.0
2018-03-03,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,13,20,0.30,10.6,0.30,40,9.0
2018-03-04,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,8,18,0.00,10.9,0.00,42,9.2
2018-03-05,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,0,15,0.00,10.9,0.00,41,9.2
2018-03-06,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,1,13,0.00,10.9,0.00,40,9.2
2018-03-07,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,4,19,0.00,10.9,0.00,40,9.2
2018-03-08,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,13,22,0.20,10.9,0.20,41,9.2
2018-03-09,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,21,33,0.00,11.1,0.00,43,9.4
2018-03-10,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,13,30,0.00,11.1,0.00,42,9.4
2018-03-11,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,9,25,0.00,11.1,0.00,42,9.4
2018-03-12,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,22,32,0.00,11.1,0.00,42,9.4
2018-03-13,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,25,32,0.30,11.1,0.30,42,9.4
2018-03-14,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,27,29,0.30,11.4,0.30,42,9.5
2018-03-15,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,23,28,0.20,11.7,0.20,44,9.8
2018-03-16,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,32,42,0.20,11.9,0.20,46,10.0
2018-03-17,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,21,31,0.00,12.1,0.00,46,10.2
2018-03-18,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,25,34,0.00,12.1,0.00,45,10.2
2018-03-19,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,24,31,0.30,12.1,0.30,46,10.2
2018-03-20,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,13,24,0.00,12.4,0.00,48,10.5
2018-03-21,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,13,17,0.00,12.4,0.00,47,10.5
2018-03-22,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,2,21,0.00,12.4,0.00,46,10.5
2018-03-23,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,3,28,0.00,12.4,0.00,45,10.5
2018-03-24,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,7,22,0.00,12.4,0.00,45,10.5
2018-03-25,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,-4,20,0.00,12.4,0.00,44,10.5
2018-03-26,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,-3,20,0.00,12.4,0.00,44,10.5
2018-03-27,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,-1,20,0.00,12.4,0.00,44,10.5
2018-03-28,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,10,27,0.00,12.4,0.00,44,10.5
2018-03-29,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,17,28,0.00,12.4,0.00,43,10.5
2018-03-30,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,19,25,0.00,12.4,0.00,43,10.5
2018-03-31,Fielding Lake,SNTL,1268,63.20267,-145.63050,3000,12,27,0.00,12.4,0.00,43,10.5
2017-12-01,Horsepasture Pass,SNTLT,1264,62.13450,-147.62500,4300,8,15,,,,12,
2017-12-02,Horsepasture Pass,SNTLT,1264,62.13450,-147.62500,4300,13,23,,,,11,
2017-12-03,Horsepasture Pass,SNTLT,1264,62.13450,-147.62500,4300,22,29,,,,12,
2017-12-04,Horsepasture Pass,SNTLT,1264,62.13450,-147.62500,4300,24,28,,,,12,
2017-12-05,Horsepasture Pass,SNTLT,1264,62.13450,-147.62500,4300,20,25,,,,12,
2017-12-06,Horsepasture Pass,SNTLT,1264,62.13450,-147.62500,4300,19,26,,,,13,
2017-12-07,Horsepasture Pass,SNTLT,1264,62.13450,-147.62500,4300,22,26,,,,18,
2017-12-08,Horsepasture Pass,SNTLT,1264,62.13450,-147.62500,4300,23,29,,,,19,
2017-12-09,Horsepasture Pass,SNTLT,1264,62.13450,-147.62500,4300,22,29,,,,18,
2017-12-10,Horsepasture Pass,SNTLT,1264,62.13450,-147.62500,4300,23,27,,,,17,
2017-12-11,Horsepasture Pass,SNTLT,1264,62.13450,-147.62500,4300,24,30,,,,19,
2017-12-12,Horsepasture Pass,SNTLT,1264,62.13450,-147.62500,4300,18,23,,,,18,
2017-12-13,Horsepasture Pass,SNTLT,1264,62.13450,-147.62500,4300,22,26,,,,18,
2017-12-14,Horsepasture Pass,SNTLT,1264,62.13450,-147.62500,4300,23,27,,,,17,
2017-12-15,Horsepasture Pass,SNTLT,1264,62.13450,-147.62500,4300,17,24,,,,18,
2017-12-16,Horsepasture Pass,SNTLT,1264,62.13450,-147.62500,4300,18,23,,,,19,
2017-12-17,Horsepasture Pass,SNTLT,1264,62.13450,-147.62500,4300,13,19,,,,21,
2017-12-18,Horsepasture Pass,SNTLT,1264,62.13450,-147.62500,4300,8,16,,,,20,
2017-12-19,Horsepasture Pass,SNTLT,1264,62.13450,-147.62500,4300,12,25,,,,20,
2017-12-20,Horsepasture Pass,SNTLT,1264,62.13450,-147.62500,4300,16,21,,,,19,
2017-12-21,Horsepasture Pass,SNTLT,1264,62.13450,-147.62500,4300,4,14,,,,18,
2017-12-22,Horsepasture Pass,SNTLT,1264,62.13450,-147.62500,4300,4,15,,,,18,
2017-12-23,Horsepasture Pass,SNTLT,1264,62.13450,-147.62500,4300,10,18,,,,18,
2017-12-24,Horsepasture Pass,SNTLT,1264,62.13450,-147.62500,4300,12,18,,,,18,
2017-12-25,Horsepasture Pass,SNTLT,1264,62.13450,-147.62500,4300,15,23,,,,18,
2017-12-26,Horsepasture Pass,SNTLT,1264,62.13450,-147.62500,4300,12,17,,,,18,
2017-12-27,Horsepasture Pass,SNTLT,1264,62.13450,-147.62500,4300,4,10,,,,18,
2017-12-28,Horsepasture Pass,SNTLT,1264,62.13450,-147.62500,4300,-1,4,,,,16,
2017-12-29,Horsepasture Pass,SNTLT,1264,62.13450,-147.62500,4300,-1,10,,,,16,
2017-12-30,Horsepasture Pass,SNTLT,1264,62.13450,-147.62500,4300,6,13,,,,17,
2017-12-31,Horsepasture Pass,SNTLT,1264,62.13450,-147.62500,4300,4,13,,,,17,
2018-01-01,Horsepasture Pass,SNTLT,1264,62.13450,-147.62500,4300,13,17,,,,16,
2018-01-02,Horsepasture Pass,SNTLT,1264,62.13450,-147.62500,4300,19,28,,,,19,
2018-01-03,Horsepasture Pass,SNTLT,1264,62.13450,-147.62500,4300,21,26,,,,20,
2018-01-04,Horsepasture Pass,SNTLT,1264,62.13450,-147.62500,4300,14,22,,,,22,
2018-01-05,Horsepasture Pass,SNTLT,1264,62.13450,-147.62500,4300,8,15,,,,22,
2018-01-06,Horsepasture Pass,SNTLT,1264,62.13450,-147.62500,4300,6,16,,,,21,
2018-01-07,Horsepasture Pass,SNTLT,1264,62.13450,-147.62500,4300,13,19,,,,21,
2018-01-08,Horsepasture Pass,SNTLT,1264,62.13450,-147.62500,4300,5,17,,,,21,
2018-01-09,Horsepasture Pass,SNTLT,1264,62.13450,-147.62500,4300,-16,-2,,,,21,
2018-01-10,Horsepasture Pass,SNTLT,1264,62.13450,-147.62500,4300,-10,1,,,,21,
2018-01-11,Horsepasture Pass,SNTLT,1264,62.13450,-147.62500,4300,-6,1,,,,21,
2018-01-12,Horsepasture Pass,SNTLT,1264,62.13450,-147.62500,4300,4,15,,,,21,
2018-01-13,Horsepasture Pass,SNTLT,1264,62.13450,-147.62500,4300,15,23,,,,21,
2018-01-14,Horsepasture Pass,SNTLT,1264,62.13450,-147.62500,4300,19,24,,,,22,
