Data for December 1, 2017 through March 31, 2018,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name, StationType, Longitude, Latitude, Elevation, MeanAvgTemperature, mcnt, NumberofDaysMaxTemperature>=82.4, mcnt, PercentofDaysMaxTemperature>=82.4, mcnt, TotalPrecipitation, mcnt, TotalSnowfall, mcnt, MeanSnowDepth, mcnt
KENAI LAKE ALASKA, RAWS, -149.400, 60.367, 475, 24.9, 2, 0, 1, 0, 1, M, 121, M, 121, M, 121
KOYUKUK NWR ALASKA, RAWS, -157.570, 66.008, 100, 12.2, 17, 0, 14, 0, 14, M, 121, M, 121, M, 121
LITTLE BLACK ALASKA, RAWS, -143.367, 66.091, 1241, 6.6, 11, 0, 5, 0, 5, M, 121, M, 121, M, 121
LIVENGOOD ALASKA, RAWS, -148.722, 65.424, 450, 5.2, 2, 0, 1, 0, 1, M, 121, M, 121, M, 121
LAKE MINCHUMINA ALASKA, RAWS, -152.311, 63.893, 740, 10.4, 0, 0, 0, 0, 0, M, 121, M, 121, M, 121
LOST CREEK ALASKA, RAWS, -147.971, 66.043, 700, 2.8, 6, 0, 3, 0, 3, M, 121, M, 121, M, 121
MAY CREEK ALASKA, RAWS, -142.584, 61.321, 1600, 10.6, 4, 0, 2, 0, 2, M, 121, M, 121, M, 121
MANLEY HOT SPRINGS 15NE, COOP, -150.228, 65.123, 501, 4.3, 0, 0, 0, 0, 0, 3.25, 0, 40.3, 0, 14.4, 0
ROBERTSON RIVER, COOP, -143.833, 63.450, 1505, M, 121, M, 121, M, 121, M, 121, M, 121, 7.0, 114
PAXSON 10.8 SSE, CoCoRaHS, -145.517, 62.939, 2595, M, 121, M, 121, M, 121, 2.43, 102, 7.3, 116, 17.5, 120
MCKINLEY RIVER ALASKA, RAWS, -151.640, 63.649, 840, 9.2, 51, 0, 49, 0, 49, M, 121, M, 121, M, 121
NINILCHIK ALASKA, RAWS, -151.665, 60.043, 130, 27.5, 92, 0, 91, 0, 91, M, 121, M, 121, M, 121
NOATAK ALASKA, RAWS, -158.704, 68.071, 985, 0.5, 8, 0, 4, 0, 4, M, 121, M, 121, M, 121
NORUTAK LAKE ALASKA, RAWS, -154.333, 66.833, 800, -5.3, 45, 0, 33, 0, 33, M, 121, M, 121, M, 121
PORT ALSWORTH ALASKA, RAWS, -154.320, 60.196, 260, 24.2, 2, 0, 1, 0, 1, M, 121, M, 121, M, 121
PAXSON ALASKA, RAWS, -145.501, 62.945, 2670, 7.4, 0, 0, 0, 0, 0, M, 121, M, 121, M, 121
POORMAN ALASKA, RAWS, -155.558, 64.105, 935, 9.3, 12, 0, 10, 0, 10, M, 121, M, 121, M, 121
PREACHER CREEK ALASKA, RAWS, -145.030, 65.923, 1038, 2.3, 0, 0, 0, 0, 0, M, 121, M, 121, M, 121
QUARTZ CREEK ALASKA, RAWS, -164.650, 65.400, 427, 13.5, 4, 0, 2, 0, 2, M, 121, M, 121, M, 121
RABBIT CREEK ALASKA, RAWS, -149.728, 61.084, 1480, 25.8, 2, 0, 1, 0, 1, M, 121, M, 121, M, 121
REINDEER RIVER ALASKA, RAWS, -162.665, 61.716, 140, 17.2, 33, 0, 32, 0, 32, M, 121, M, 121, M, 121
RENEE ALASKA, RAWS, -146.618, 62.710, 2600, 11.4, 34, 0, 33, 0, 33, M, 121, M, 121, M, 121
ROUND LAKE ALASKA, RAWS, -153.940, 64.685, 570, 10.1, 0, 0, 0, 0, 0, M, 121, M, 121, M, 121
RUTH GLACIER ALASKA, RAWS, -150.540, 62.710, 3300, 19.6, 42, 0, 42, 0, 42, M, 121, M, 121, M, 121
SALMON TROUT ALASKA, RAWS, -141.620, 66.813, 2210, 7.5, 67, 0, 62, 0, 62, M, 121, M, 121, M, 121
SELAWIK ALASKA, RAWS, -159.112, 66.603, 105, 7.0, 3, 0, 1, 0, 1, M, 121, M, 121, M, 121
SEVEN MILE ALASKA, RAWS, -149.855, 65.938, 823, 2.7, 2, 0, 1, 0, 1, M, 121, M, 121, M, 121
SKILAK GUARD STATION ALASKA, RAWS, -150.461, 60.484, 590, 24.9, 38, 0, 36, 0, 36, M, 121, M, 121, M, 121
SALCHA ALASKA, RAWS, -146.140, 64.590, 1000, 2.5, 1, 0, 1, 0, 1, M, 121, M, 121, M, 121
STONEY ALASKA, RAWS, -153.896, 61.001, 1250, 16.0, 4, 0, 2, 0, 2, M, 121, M, 121, M, 121
STONEY RIVER ALASKA, RAWS, -156.433, 61.647, 265, 15.6, 4, 0, 2, 0, 2, M, 121, M, 121, M, 121
SWANSON RIVER ALASKA, RAWS, -150.872, 60.728, 280, 24.7, 0, 0, 0, 0, 0, M, 121, M, 121, M, 121
TELIDA ALASKA, RAWS, -153.357, 63.440, 650, 6.7, 4, 0, 2, 0, 2, M, 121, M, 121, M, 121
THORNE BAY ALASKA, RAWS, -132.983, 55.750, 1800, 35.0, 31, 0, 31, 0, 31, M, 121, M, 121, M, 121
TOK RIVER VALLEY ALASKA, RAWS, -143.347, 62.957, 2300, 4.5, 2, 0, 1, 0, 1, M, 121, M, 121, M, 121
GOLD KING ALASKA, RAWS, -148.462, 64.404, 556, 14.6, 2, 0, 1, 0, 1, M, 121, M, 121, M, 121
VUNZIK LAKE ALASKA, RAWS, -146.716, 66.798, 525, 2.2, 2, 0, 1, 0, 1, M, 121, M, 121, M, 121
WONDER LAKE ALASKA, RAWS, -150.871, 63.490, 2120, 12.3, 0, 0, 0, 0, 0, M, 121, M, 121, M, 121
ZAREMBO ALASKA, RAWS, -132.849, 56.300, 1100, 33.4, 0, 0, 0, 0, 0, M, 121, M, 121, M, 121
KING SALMON 42 SE, WBAN, -155.922, 58.208, 661, 24.9, 0, 0, 0, 0, 0, 7.34, 0, M, 121, M, 121
GUSTAVUS 2 NE, WBAN, -135.690, 58.429, 20, 28.3, 0, 0, 0, 0, 0, 18.02, 0, M, 121, M, 121
METLAKATLA 6 S, WBAN, -131.588, 55.046, 105, 37.2, 0, 0, 0, 0, 0, 27.62, 0, M, 121, M, 121
ALPINE, COOP, -150.928, 70.346, 17, -0.5, 0, 0, 0, 0, 0, 1.35, 0, 11.3, 3, 23.4, 5
CHUGIAK 0.8, CoCoRaHS, -149.487, 61.407, 191, M, 121, M, 121, M, 121, 4.00, 29, 37.8, 34, M, 121
TALKEETNA 7.6 S, CoCoRaHS, -150.073, 62.227, 383, M, 121, M, 121, M, 121, 7.18, 0, 89.7, 0, 29.3, 0
FAIRBANKS 7.0 NNE, CoCoRaHS, -147.539, 64.928, 1422, M, 121, M, 121, M, 121, 6.02, 72, 57.0, 76, 0.5, 120
LONG LAKE, Snotel, -133.830, 58.190, 850, 25.1, 0, 0, 0, 0, 0, 41.40, 0, M, 121, 38.9, 0
MOORE CREEK BRIDGE, Snotel, -135.210, 59.590, 2250, 19.9, 0, 0, 0, 0, 0, 15.20, 0, M, 121, 15.4, 0
AMERICAN CREEK, Snotel, -141.230, 64.790, 1050, 4.5, 0, 0, 0, 0, 0, 2.20, 0, M, 121, 12.4, 0
MAY CREEK, Snotel, -142.710, 61.350, 1610, 17.3, 62, 0, 61, 0, 61, 7.60, 0, M, 121, 12.3, 61
CHISANA, Snotel, -142.050, 62.070, 3320, 3.0, 0, 0, 0, 0, 0, 3.30, 0, M, 121, 18.6, 0
UPPER CHENA, Snotel, -144.930, 65.100, 2850, 13.5, 7, 0, 2, 0, 2, 7.30, 0, M, 121, 43.6, 0
MT. EYAK, Snotel, -145.750, 60.550, 1405, 32.4, 0, 0, 0, 0, 0, 49.80, 0, M, 121, 24.0, 18
UPPER TSAINA RIVER, Snotel, -145.650, 61.190, 1750, 10.3, 0, 0, 0, 0, 0, 18.60, 0, M, 121, 59.1, 0
FIELDING LAKE, Snotel, -145.630, 63.200, 3000, 5.7, 0, 0, 0, 0, 0, 9.10, 1, M, 121, 34.0, 0
GRANITE CRK, Snotel, -145.400, 63.940, 1240, 9.2, 0, 0, 0, 0, 0, 2.70, 0, M, 121, 14.0, 0
TEUCHET CREEK, Snotel, -145.520, 64.950, 1640, 10.0, 15, 0, 6, 0, 6, 3.40, 0, M, 121, 21.1, 0
MONUMENT CREEK, Snotel, -145.870, 65.080, 1850, 9.7, 5, 0, 0, 0, 0, 5.00, 0, M, 121, 30.4, 0
EAGLE SUMMIT, Snotel, -145.410, 65.490, 3650, 12.2, 3, 0, 3, 0, 3, 5.60, 0, M, 121, 16.7, 8
FORT YUKON, Snotel, -145.250, 66.570, 430, -1.7, 0, 0, 0, 0, 0, 1.90, 0, M, 121, 16.4, 0
SUGARLOAF MTN, Snotel, -146.300, 61.080, 550, 26.9, 0, 0, 0, 0, 0, 28.40, 0, M, 121, 37.2, 0
MUNSON RIDGE, Snotel, -146.210, 64.850, 3100, 15.0, 13, 0, 11, 0, 11, 6.30, 0, M, 121, 44.9, 7
MT. RYAN, Snotel, -146.150, 65.250, 2800, 14.5, 3, 0, 0, 0, 0, 4.80, 0, M, 121, 30.6, 0
LITTLE CHENA RIDGE, Snotel, -146.730, 65.120, 2000, 18.0, 3, 0, 0, 0, 0, 3.90, 0, M, 121, 28.1, 0
UPPER NOME CREEK, Snotel, -146.590, 65.370, 2520, 13.7, 0, 0, 0, 0, 0, 6.20, 0, M, 121, 36.6, 0
MONAHAN FLAT, Snotel, -147.650, 63.310, 2710, 5.5, 0, 0, 0, 0, 0, 5.60, 0, M, 121, 27.4, 0
FAIRBANKS F.O., Snotel, -147.800, 64.850, 450, 7.5, 0, 0, 0, 0, 0, 4.10, 0, M, 121, 17.9, 45
ESTHER ISLAND, Snotel, -148.090, 60.800, 50, 28.8, 0, 0, 0, 0, 0, 49.90, 0, M, 121, 19.2, 0
MORAINE, Snotel, -149.000, 61.380, 2100, 24.5, 0, 0, 0, 0, 0, 6.60, 0, M, 121, 8.8, 0
SAGWON, Snotel, -148.690, 69.420, 1000, 6.5, 0, 0, 0, 0, 0, 1.50, 0, M, 121, 14.5, 0
PRUDHOE BAY, Snotel, -148.570, 70.270, 30, 0.5, 0, 0, 0, 0, 0, 2.80, 0, M, 121, 14.4, 0
MT. ALYESKA, Snotel, -149.090, 60.960, 1540, 26.6, 0, 0, 0, 0, 0, 23.80, 0, M, 121, 34.2, 0
GRANDVIEW, Snotel, -149.060, 60.610, 1100, 23.0, 1, 0, 0, 0, 0, 25.30, 0, M, 121, 36.1, 0
COOPER LAKE, Snotel, -149.690, 60.390, 1200, 26.3, 0, 0, 0, 0, 0, 11.90, 0, M, 121, 19.0, 0
TURNAGAIN PASS, Snotel, -149.180, 60.780, 1880, 25.8, 0, 0, 0, 0, 0, 23.40, 0, M, 121, 57.1, 0
GROUSE CREEK DIVIDE, Snotel, -149.340, 60.260, 700, 25.7, 0, 0, 0, 0, 0, 22.50, 0, M, 121, 22.0, 0
EXIT GLACIER, Snotel, -149.620, 60.190, 400, 25.6, 0, 0, 0, 0, 0, 25.80, 0, M, 121, 18.2, 0
SUMMIT CREEK, Snotel, -149.530, 60.620, 1400, 20.8, 0, 0, 0, 0, 0, 10.30, 0, M, 121, 20.3, 0
INDIAN PASS, Snotel, -149.480, 61.070, 2350, 22.1, 0, 0, 0, 0, 0, 15.10, 0, M, 121, 44.5, 0
ANCHORAGE HILLSIDE, Snotel, -149.670, 61.110, 2080, 22.3, 0, 0, 0, 0, 0, 7.30, 0, M, 121, 15.1, 0
INDEPENDENCE MINE, Snotel, -149.280, 61.790, 3550, M, 121, M, 121, M, 121, 14.90, 0, M, 121, 43.4, 0
IMNAVIAT CREEK, Snotel, -149.300, 68.620, 3050, 10.7, 0, 0, 0, 0, 0, 2.00, 0, M, 121, 28.0, 1
ATIGUN PASS, Snotel, -149.480, 68.130, 4800, 5.0, 0, 0, 0, 0, 0, 3.80, 0, M, 121, 46.0, 0
MIDDLE FORK BRADLEY, Snotel, -150.760, 59.780, 2300, 24.8, 0, 0, 0, 0, 0, 16.20, 1, M, 121, 33.2, 2
NUKA GLACIER, Snotel, -150.710, 59.700, 1250, 25.4, 0, 0, 0, 0, 0, 29.60, 0, M, 121, 31.1, 0
KACHEMAK CREEK, Snotel, -150.660, 59.730, 1660, 26.5, 0, 0, 0, 0, 0, 26.20, 0, M, 121, 21.7, 0
KENAI MOOSE PENS, Snotel, -150.480, 60.730, 300, 22.0, 0, 0, 0, 0, 0, 4.00, 0, M, 121, 13.5, 0
ALEXANDER LAKE, Snotel, -150.890, 61.750, 160, 12.4, 0, 0, 0, 0, 0, 7.50, 0, M, 121, 24.0, 0
TOKOSITNA VALLEY, Snotel, -150.780, 62.630, 850, 18.5, 0, 0, 0, 0, 0, 10.00, 0, M, 121, 38.0, 0
SUSITNA VALLEY HIGH, Snotel, -150.040, 62.130, 375, 15.8, 0, 0, 0, 0, 0, 7.10, 0, M, 121, 17.7, 0
KANTISHNA, Snotel, -150.990, 63.540, 1550, 9.1, 0, 0, 0, 0, 0, 7.00, 0, M, 121, 28.5, 0
GOBBLERS KNOB, Snotel, -150.670, 66.750, 2030, 12.7, 1, 0, 0, 0, 0, 5.40, 2, M, 121, 12.6, 4
COLDFOOT, Snotel, -150.180, 67.250, 1040, 4.4, 1, 0, 1, 0, 1, 4.50, 0, M, 121, 30.5, 0
ANCHOR RIVER DIVIDE, Snotel, -151.320, 59.860, 1653, 26.2, 0, 0, 0, 0, 0, 11.30, 0, M, 121, 31.1, 0
MCNEIL CANYON, Snotel, -151.250, 59.740, 1320, 24.8, 0, 0, 0, 0, 0, 9.30, 0, M, 121, 16.7, 0
PORT GRAHAM, Snotel, -151.850, 59.350, 300, 32.5, 0, 0, 0, 0, 0, 26.70, 0, M, 121, 1.3, 49
BETTLES FIELD, Snotel, -151.530, 66.920, 640, -2.7, 0, 0, 0, 0, 0, 4.70, 0, M, 121, 29.4, 0
TELAQUANA LAKE, Snotel, -153.920, 60.980, 1275, 20.9, 0, 0, 0, 0, 0, 4.90, 0, M, 121, 12.9, 0
MCNEIL RIVER SGS, Snotel, -154.280, 59.080, 140, 27.1, 0, 0, 0, 0, 0, 35.90, 0, M, 121, 21.8, 0
KELLY STATION, Snotel, -162.280, 67.930, 310, 11.3, 0, 0, 0, 0, 0, 5.30, 0, M, 121, 26.0, 0
ROCKY POINT, Snotel, -163.420, 64.530, 250, 15.0, 0, 0, 0, 0, 0, 2.60, 0, M, 121, 34.7, 18
PARGON CREEK, Snotel, -163.100, 64.990, 100, 14.0, 0, 0, 0, 0, 0, 3.50, 0, M, 121, 16.4, 0
JOHNSON'S CAMP, Snotel, -164.290, 64.560, 25, 19.2, 0, 0, 0, 0, 0, M, 121, M, 121, 21.0, 0
FAIRBANKS 5.7 N, CoCoRaHS, -147.630, 64.919, 996, M, 121, M, 121, M, 121, 3.93, 0, 51.7, 0, 22.2, 0
ANCHORAGE 4.7 SSW, CoCoRaHS, -149.935, 61.153, 116, M, 121, M, 121, M, 121, 3.08, 0, 44.7, 0, 8.7, 0
SELAWIK 28 E, WBAN, -159.004, 66.562, 22, 7.1, 0, 0, 0, 0, 0, 1.93, 0, M, 121, M, 121
VALDEZ, COOP, -146.382, 61.131, 62, 24.2, 4, 0, 4, 0, 4, 25.47, 5, 102.5, 5, 27.0, 10
DENALI 27 N, WBAN, -150.875, 63.452, 2225, 13.4, 26, 0, 26, 0, 26, 5.24, 26, M, 121, M, 121
BOB BARKER MEMORIAL AIRPORT, WBAN, -160.433, 66.983, 168, -8.5, 120, 0, 120, 0, 120, 0.00, 120, M, 121, M, 121
WALES AIRPORT, WBAN, -168.100, 65.617, 23, 1.5, 120, 0, 120, 0, 120, 0.00, 120, M, 121, M, 121
SHAKTOOLIK AIRPORT, WBAN, -161.224, 64.370, 23, 4.0, 119, 0, 119, 0, 119, 0.00, 119, M, 121, M, 121
ROBERT (BOB) CURTIS MEMORIAL AIRPORT, WBAN, -161.022, 66.818, 56, 6.8, 119, 0, 119, 0, 119, T, 119, M, 121, M, 121
TELLER AIRPORT, WBAN, -166.350, 65.233, 292, 15.5, 120, 0, 120, 0, 120, 0.00, 120, M, 121, M, 121
SHUNGNAK AIRPORT, WBAN, -157.162, 66.888, 206, 8.3, 118, 0, 118, 0, 118, T, 118, M, 121, M, 121
STERLING 6SW, COOP, -150.919, 60.491, 292, 20.2, 1, 0, 0, 0, 0, 4.76, 0, 34.4, 0, 14.6, 0
THORNE BAY, COOP, -132.525, 55.692, 286, 34.2, 0, 0, 0, 0, 0, 17.30, 2, 43.3, 0, 6.4, 0
IVOTUK 1 NNE, WBAN, -155.751, 68.485, 1909, 3.8, 18, 0, 18, 0, 18, 1.29, 21, M, 121, M, 121
RUBY 44 ESE, WBAN, -154.130, 64.501, 259, 6.3, 0, 0, 0, 0, 0, 2.87, 0, M, 121, M, 121
DEADHORSE 3 S, WBAN, -148.464, 70.162, 30, -1.0, 0, 0, 0, 0, 0, 0.61, 1, M, 121, M, 121
HARDING LAKE NE, COOP, -146.815, 64.439, 740, 16.2, 113, 0, 113, 0, 113, 0.00, 114, 0.0, 114, 25.3, 113
YAKUTAT 3 SSE, WBAN, -139.685, 59.509, 26, 29.2, 0, 0, 0, 0, 0, 46.83, 0, M, 121, M, 121
Skagway Area, ThreadEx, -, -, -, 28.4, 11, 0, 11, 0, 11, 7.72, 11, M, 121, M, 121
ANCHORAGE 7.6 SSE, CoCoRaHS, -149.846, 61.111, 220, M, 121, M, 121, M, 121, 3.59, 0, 33.0, 24, 9.6, 90
ANCHORAGE 4.5 E, CoCoRaHS, -149.765, 61.213, 224, M, 121, M, 121, M, 121, 1.55, 108, 23.2, 105, 8.4, 105
FAIRBANKS 4.4 W, CoCoRaHS, -147.797, 64.845, 438, M, 121, M, 121, M, 121, 4.34, 102, 1.3, 115, 11.3, 118
HOOPER BAY 1.2 S, CoCoRaHS, -166.098, 61.523, 26, M, 121, M, 121, M, 121, 0.00, 117, 0.0, 118, M, 121
CHIGMIT MTNS ALASKA, RAWS, -153.466, 60.223, 4500, 16.3, 2, 0, 1, 0, 1, M, 121, M, 121, M, 121
COVILLE ALASKA, RAWS, -155.563, 58.803, 1500, 26.7, 11, 0, 7, 0, 7, M, 121, M, 121, M, 121
SALMON RIVER ALASKA, RAWS, -159.840, 67.460, 1201, 11.1, 9, 0, 5, 0, 5, M, 121, M, 121, M, 121
PEDERSON LAGOON ALASKA, RAWS, -149.731, 59.894, 625, 34.0, 0, 0, 0, 0, 0, M, 121, M, 121, M, 121
COAL CREEK ALASKA, RAWS, -143.132, 65.314, 870, 3.4, 0, 0, 0, 0, 0, M, 121, M, 121, M, 121
UMIAT AIRFIELD ALASKA, RAWS, -152.136, 69.370, 289, -3.6, 11, 0, 6, 0, 6, M, 121, M, 121, M, 121
TEBAY ALASKA, RAWS, -144.400, 61.188, 2000, 12.9, 21, 0, 13, 0, 13, M, 121, M, 121, M, 121
KILLIK PASS ALASKA, RAWS, -154.924, 67.970, 3000, 6.9, 7, 0, 6, 0, 6, M, 121, M, 121, M, 121
CHICKEN CREEK ALASKA, RAWS, -141.845, 62.124, 5240, 12.6, 6, 0, 3, 0, 3, M, 121, M, 121, M, 121
CHIMNEY LAKE ALASKA, RAWS, -150.493, 67.756, 3100, 9.6, 3, 0, 2, 0, 2, M, 121, M, 121, M, 121
MT. NOAK ALASKA, RAWS, -162.994, 67.141, 809, 11.0, 17, 0, 14, 0, 14, M, 121, M, 121, M, 121
TOKLAT ALASKA, RAWS, -150.043, 63.524, 3100, 13.3, 2, 0, 1, 0, 1, M, 121, M, 121, M, 121
CAMPBELL CREEK ALASKA, RAWS, -149.797, 61.159, 157, 19.6, 3, 0, 3, 0, 3, M, 121, M, 121, M, 121
SNIPE LAKE ALASKA, RAWS, -154.320, 60.610, 2300, 19.8, 44, 0, 43, 0, 43, M, 121, M, 121, M, 121
TOK AKTAS ALASKA, RAWS, -143.002, 63.325, 1702, 0.9, 0, 0, 0, 0, 0, M, 121, M, 121, M, 121
JARVIS CREEK ALASKA, RAWS, -145.619, 63.949, 1426, 7.7, 33, 0, 32, 0, 32, M, 121, M, 121, M, 121
HOWARD PASS ALASKA, RAWS, -156.896, 68.156, 2062, 8.5, 4, 0, 2, 0, 2, M, 121, M, 121, M, 121
KALUICH ALASKA, RAWS, -158.432, 67.573, 2486, 8.8, 16, 0, 12, 0, 12, M, 121, M, 121, M, 121
FOURPEAKED ALASKA, RAWS, -153.518, 58.706, 1074, 31.4, 62, 0, 62, 0, 62, M, 121, M, 121, M, 121
MOTHER GOOSE ALASKA, RAWS, -157.278, 57.179, 175, 30.9, 2, 0, 1, 0, 1, M, 121, M, 121, M, 121
HARDING ICEFIELD ALASKA, RAWS, -149.799, 60.149, 4200, 18.5, 2, 0, 0, 0, 0, M, 121, M, 121, M, 121
DEVIL MOUNTAIN ALASKA, RAWS, -164.531, 66.276, 285, 16.7, 61, 0, 57, 0, 57, M, 121, M, 121, M, 121
INIGOK AIRFIELD ALASKA, RAWS, -153.084, 70.004, 168, 1.3, 21, 0, 18, 0, 18, M, 121, M, 121, M, 121
IMELYAK ALASKA, RAWS, -157.069, 67.546, 3569, 11.7, 15, 0, 11, 0, 11, M, 121, M, 121, M, 121
BOLIO ALASKA, RAWS, -145.833, 63.867, 2450, 23.2, 96, 0, 96, 0, 96, M, 121, M, 121, M, 121
SOLDOTNA AKKKS ALASKA, RAWS, -151.014, 60.497, 155, 22.2, 2, 0, 1, 0, 1, M, 121, M, 121, M, 121
FT. YUKON ALASKA, RAWS, -145.251, 66.570, 465, -2.7, 4, 0, 2, 0, 2, M, 121, M, 121, M, 121
PAMICHTUK LAKE ALASKA, RAWS, -152.195, 67.772, 2700, 8.5, 3, 0, 2, 0, 2, M, 121, M, 121, M, 121
EAGLE RIVER ALASKA, RAWS, -149.366, 61.273, 420, 25.7, 47, 0, 41, 0, 41, M, 121, M, 121, M, 121
MANCHU ALASKA, RAWS, -147.017, 64.700, 671, 17.5, 96, 0, 95, 0, 95, M, 121, M, 121, M, 121
WILLOW ALASKA, RAWS, -150.050, 61.765, 210, 15.9, 16, 0, 12, 0, 12, M, 121, M, 121, M, 121
YANTARNI BAY ALASKA, RAWS, -157.033, 56.914, 96, 33.2, 0, 0, 0, 0, 0, M, 121, M, 121, M, 121
STAMPEDE ALASKA, RAWS, -150.328, 63.748, 1900, 14.2, 20, 0, 17, 0, 17, M, 121, M, 121, M, 121
SHAKTOOLIK RIVER ALASKA, RAWS, -159.902, 64.633, 1850, 15.9, 2, 0, 1, 0, 1, M, 121, M, 121, M, 121
DENALI VISITOR CENTER ALASKA, RAWS, -148.905, 63.732, 1800, 10.5, 10, 0, 5, 0, 5, M, 121, M, 121, M, 121
DUNKLE HILLS ALASKA, RAWS, -149.539, 63.268, 2850, 11.7, 0, 0, 0, 0, 0, M, 121, M, 121, M, 121
BOX RIVER ALASKA, RAWS, -158.905, 65.299, 1150, 11.5, 5, 0, 3, 0, 3, M, 121, M, 121, M, 121
ASIK ALASKA, RAWS, -162.266, 67.475, 1329, 13.1, 8, 0, 6, 0, 6, M, 121, M, 121, M, 121
JUNEAU 14.6 W, CoCoRaHS, -134.531, 58.357, 58, M, 121, M, 121, M, 121, 19.43, 3, 44.7, 47, 5.8, 80
TANA KNOB ALASKA, RAWS, -142.698, 60.908, 3450, 19.5, 118, 0, 118, 0, 118, M, 121, M, 121, M, 121
TAG MTN ALASKA, RAWS, -158.660, 66.181, 2017, 8.5, 23, 0, 20, 0, 20, M, 121, M, 121, M, 121
STUART CREEK ALASKA, RAWS, -146.504, 64.719, 1543, 15.9, 0, 0, 0, 0, 0, M, 121, M, 121, M, 121
EIELSON VISITOR CENTER ALASKA, RAWS, -150.309, 63.431, 3730, 18.8, 0, 0, 0, 0, 0, M, 121, M, 121, M, 121
GATES GLACIER ALASKA, RAWS, -143.013, 61.603, 4060, 16.2, 2, 0, 1, 0, 1, M, 121, M, 121, M, 121
WIGAND ALASKA, RAWS, -150.050, 63.812, 1720, 13.0, 8, 0, 7, 0, 7, M, 121, M, 121, M, 121
TAHINICHOK ALASKA, RAWS, -163.567, 67.550, 966, 11.8, 1, 0, 0, 0, 0, M, 121, M, 121, M, 121
SISIAK ALASKA, RAWS, -160.396, 67.995, 1823, 8.7, 4, 0, 3, 0, 3, M, 121, M, 121, M, 121
BUCKLAND UPLANDS ALASKA, RAWS, -160.874, 65.908, 400, 12.2, 19, 0, 16, 0, 16, M, 121, M, 121, M, 121
OKLAHOMA ALASKA, RAWS, -146.252, 64.022, 1587, 13.8, 8, 0, 7, 0, 7, M, 121, M, 121, M, 121
PT. MAC ALASKA, RAWS, -150.091, 61.423, 200, 19.6, 31, 0, 31, 0, 31, M, 121, M, 121, M, 121
EAGLECREST BASE, COOP, -134.514, 58.276, 1134, 25.4, 0, 0, 0, 0, 0, 25.59, 0, 103.6, 0, 13.5, 0
JUNEAU-DOUGLAS WWTP, COOP, -134.385, 58.287, 41, M, 121, M, 121, M, 121, 23.23, 2, 50.9, 12, 2.2, 15
KETCHIKAN 10N, COOP, -131.818, 55.452, 295, 35.8, 0, 0, 0, 0, 0, 26.35, 0, 27.5, 0, 1.8, 0
CORDOVA 14 ESE, WBAN, -145.354, 60.473, 83, 29.7, 34, 0, 34, 0, 34, 33.24, 11, M, 121, M, 121
TOOLIK LAKE 5 ENE, WBAN, -149.399, 68.648, 800, 6.3, 0, 0, 0, 0, 0, 0.90, 1, M, 121, M, 121
WASILLA 2.7 NW, CoCoRaHS, -149.523, 61.606, 493, M, 121, M, 121, M, 121, 4.52, 4, 43.6, 63, 3.0, 93
ANCHORAGE 2.6 SW, CoCoRaHS, -149.949, 61.190, 66, M, 121, M, 121, M, 121, 0.10, 102, M, 121, M, 121
EAGLE RIVER GAKONA CIRCLE, COOP, -149.543, 61.319, 567, 21.9, 0, 0, 0, 0, 0, 3.83, 0, 31.7, 0, 6.2, 0
POINT BAKER, COOP, -133.626, 56.351, 20, 35.3, 14, 0, 14, 0, 14, 14.62, 0, 23.5, 2, 1.3, 1
HYDER, COOP, -130.026, 55.916, 80, 28.1, 0, 0, 0, 0, 0, 15.09, 6, 101.5, 9, 22.7, 9
FAIRBANKS 11 NE, WBAN, -147.510, 64.974, 1140, 14.7, 0, 0, 0, 0, 0, 4.33, 2, M, 121, M, 121
AURORA, COOP, -147.722, 64.855, 443, 7.0, 0, 0, 0, 0, 0, 3.14, 0, 44.7, 20, 18.4, 18
KETCHIKAN AIRPORT, WBAN, -131.721, 55.360, 80, 37.1, 9, 0, 9, 0, 9, 40.58, 0, M, 121, M, 121
SOLDOTNA 5SSW, COOP, -151.134, 60.419, 180, 19.9, 0, 0, 0, 0, 0, 4.76, 0, 35.7, 0, 8.6, 0
MONTANA CREEK DOT, COOP, -146.086, 65.360, 2300, 10.2, 5, 0, 5, 0, 5, M, 121, M, 121, 27.5, 22
MONASHKA CREEK DAM, COOP, -152.458, 57.843, 130, 30.5, 1, 0, 1, 0, 1, 33.54, 1, M, 121, M, 121
KODIAK WWTP, COOP, -152.356, 57.805, 54, 34.8, 0, 0, 0, 0, 0, 24.37, 0, 22.8, 1, 0.5, 2
Kodiak Area, ThreadEx, -, -, -, 34.8, 0, 0, 0, 0, 0, 25.99, 0, 11.7, 10, 0.1, 11
King Salmon Area, ThreadEx, -, -, -, 26.1, 0, 0, 0, 0, 0, 6.71, 1, 39.8, 3, 2.5, 1
Anchorage Area, ThreadEx, -, -, -, 23.4, 0, 0, 0, 0, 0, 4.36, 0, 50.0, 0, 10.6, 0
Annette Area, ThreadEx, -, -, -, 38.5, 21, 0, 21, 0, 21, 20.26, 20, T, 79, 0.1, 86
Bethel Area, ThreadEx, -, -, -, 20.1, 0, 0, 0, 0, 0, 3.38, 0, 26.3, 6, 4.2, 14
Delta Junction Area, ThreadEx, -, -, -, 10.2, 0, 0, 0, 0, 0, 0.93, 14, M, 121, M, 121
